Target,Fluorophore,Localization,Volume,Box_Location,Status,Clone
CD4,PB,Surface (表面),296.0,,In Use (使用中),
CD8,PE,Intracellular (胞内),7.0,,,
CD103,PE,Intracellular (胞内),9.0,,,
